7.49924e+009	3.25809e+009	5.61469e+009	5.41041e+009	8.69352e+009	7.06949e+009	4.28121e+009	9.7076e+009	7.13493e+009	8.49521e+009	
3.25809e+009	3.81198e+009	2.87139e+009	3.08706e+008	4.90121e+009	4.43181e+009	1.95626e+009	5.41153e+009	5.68653e+009	5.6711e+009	
5.61469e+009	2.87139e+009	4.28162e+009	3.68266e+009	6.71154e+009	5.5382e+009	3.2227e+009	7.48335e+009	5.80828e+009	6.71739e+009	
5.41041e+009	3.08706e+008	3.68266e+009	5.64314e+009	5.31413e+009	3.94124e+009	3.00671e+009	5.98632e+009	2.94361e+009	4.44168e+009	
8.69352e+009	4.90121e+009	6.71154e+009	5.31413e+009	1.06054e+010	8.83355e+009	5.00817e+009	1.18137e+010	9.48469e+009	1.07771e+010	
7.06949e+009	4.43181e+009	5.5382e+009	3.94124e+009	8.83355e+009	7.43665e+009	4.09052e+009	9.82911e+009	8.19447e+009	9.13256e+009	
4.28121e+009	1.95626e+009	3.2227e+009	3.00671e+009	5.00817e+009	4.09052e+009	2.44795e+009	5.5899e+009	4.17714e+009	4.92934e+009	
9.7076e+009	5.41153e+009	7.48335e+009	5.98632e+009	1.18137e+010	9.82911e+009	5.5899e+009	1.31612e+010	1.05248e+010	1.19835e+010	
7.13493e+009	5.68653e+009	5.80828e+009	2.94361e+009	9.48469e+009	8.19447e+009	4.17714e+009	1.05248e+010	9.58036e+009	1.022e+010	
8.49521e+009	5.6711e+009	6.71739e+009	4.44168e+009	1.07771e+010	9.13256e+009	4.92934e+009	1.19835e+010	1.022e+010	1.12599e+010	
